Date,Close
1/3/2017,72.75
1/4/2017,73.81
1/5/2017,72.56
1/6/2017,71.44
1/9/2017,71.43
1/10/2017,71.43
1/11/2017,71.61
1/12/2017,71.25
1/13/2017,70.19
1/17/2017,70.94
1/18/2017,66.85
1/19/2017,65.39
1/20/2017,64.1
1/23/2017,63.85
1/24/2017,64.41
1/25/2017,65
1/26/2017,64.17
1/27/2017,63.7
1/30/2017,64.12
1/31/2017,64.48
2/1/2017,63.67
2/2/2017,63.68
2/3/2017,63.75
2/6/2017,63.42
2/7/2017,63.57
2/8/2017,64.77
2/9/2017,66.41
2/10/2017,65.73
2/13/2017,64.81
2/14/2017,65.65
2/15/2017,65.75
2/16/2017,65.2
2/17/2017,65.79
2/21/2017,66.21
2/22/2017,65.94
2/23/2017,64.98
2/24/2017,66.51
2/27/2017,66.91
2/28/2017,58.77
3/1/2017,57.83
3/2/2017,57.95
3/3/2017,57.35
3/6/2017,56.1
3/7/2017,55.14
3/8/2017,55.02
3/9/2017,55.2
3/10/2017,55.36
3/13/2017,55.19
3/14/2017,54.75
3/15/2017,54.57
3/16/2017,54.59
3/17/2017,54.29
3/20/2017,54.37
3/21/2017,53.39
3/22/2017,53.58
3/23/2017,53.14
3/24/2017,53.12
3/27/2017,53.33
3/28/2017,53.6
3/29/2017,55.15
3/30/2017,55.25
3/31/2017,55.19
4/3/2017,54.03
4/4/2017,53.43
4/5/2017,52.75
4/6/2017,53.57
4/7/2017,53.24
4/10/2017,53.79
4/11/2017,53.71
4/12/2017,53.4
4/13/2017,53.39
4/17/2017,53.68
4/18/2017,53.6
4/19/2017,53.89
4/20/2017,54.64
4/21/2017,54.78
4/24/2017,54.82
4/25/2017,55.15
4/26/2017,55.98
4/27/2017,56.09
4/28/2017,55.85
5/1/2017,55.77
5/2/2017,56.16
5/3/2017,57.34
5/4/2017,57.29
5/5/2017,57.32
5/8/2017,57.3
5/9/2017,58.08
5/10/2017,58.41
5/11/2017,56.06
5/12/2017,55.8
5/15/2017,55.35
5/16/2017,54.53
5/17/2017,55.04
5/18/2017,55.83
5/19/2017,55.99
5/22/2017,55.46
5/23/2017,54.49
5/24/2017,54.13
5/25/2017,54.2
5/26/2017,54.4
5/30/2017,54.94
5/31/2017,55.15
6/1/2017,55.66
6/2/2017,55.52
6/5/2017,55.63
6/6/2017,54.58
6/7/2017,54.47
6/8/2017,54.63
6/9/2017,56.9
6/12/2017,57.87
6/13/2017,57.38
6/14/2017,57.86
6/15/2017,55.46
6/16/2017,52.61
6/19/2017,51.71
6/20/2017,50.91
6/21/2017,50.52
6/22/2017,50.63
6/23/2017,50.76
6/26/2017,51.48
6/27/2017,52.07
6/28/2017,52.06
6/29/2017,52.09
6/30/2017,52.29
7/3/2017,52.65
7/5/2017,52.16
7/6/2017,51.44
7/7/2017,51.07
7/10/2017,50.18
7/11/2017,50.41
7/12/2017,50.87
7/13/2017,53.31
7/14/2017,53.23
7/17/2017,53.73
7/18/2017,53.73
7/19/2017,54.1
7/20/2017,54.58
7/21/2017,54.84
7/24/2017,54.05
7/25/2017,55.1
7/26/2017,54.96
7/27/2017,56.05
7/28/2017,56.11
7/31/2017,56.67
8/1/2017,56.86
8/2/2017,56.8
8/3/2017,57.04
8/4/2017,57.58
8/7/2017,57.88
8/8/2017,58.74
8/9/2017,57.87
8/10/2017,55.64
8/11/2017,55.65
8/14/2017,55.79
8/15/2017,54.35
8/16/2017,56.31
8/17/2017,56.12
8/18/2017,55.65
8/21/2017,56.56
8/22/2017,56.54
8/23/2017,56.46
8/24/2017,54.21
8/25/2017,55.01
8/28/2017,54.44
8/29/2017,54.55
8/30/2017,54.32
8/31/2017,54.53
9/1/2017,56.22
9/5/2017,57.35
9/6/2017,58.02
9/7/2017,58.42
9/8/2017,57.27
9/11/2017,57.29
9/12/2017,57.89
9/13/2017,59.51
9/14/2017,59.47
9/15/2017,59.96
9/18/2017,59.09
9/19/2017,59.35
9/20/2017,59.26
9/21/2017,58.33
9/22/2017,58.99
9/25/2017,58.55
9/26/2017,58.59
9/27/2017,58.87
9/28/2017,58.91
9/29/2017,59.01
10/2/2017,58.89
10/3/2017,58.58
10/4/2017,58.66
10/5/2017,58.38
10/6/2017,57.12
10/9/2017,56.25
10/10/2017,57.6
10/11/2017,59.15
10/12/2017,60.19
10/13/2017,60.85
10/16/2017,60.15
10/17/2017,60.17
10/18/2017,60.03
10/19/2017,60.43
10/20/2017,61.76
10/23/2017,62.58
10/24/2017,62.93
10/25/2017,61.92
10/26/2017,62.01
10/27/2017,60.26
10/30/2017,59.55
10/31/2017,59.04
11/1/2017,58.86
11/2/2017,59.79
11/3/2017,59.36
11/6/2017,59.29
11/7/2017,57.89
11/8/2017,58.37
11/9/2017,59.9
11/10/2017,61.4
11/13/2017,60.4
11/14/2017,60.09
11/15/2017,54.16
11/16/2017,55.1
11/17/2017,58.14
11/20/2017,57.88
11/21/2017,57.25
11/22/2017,57.49
11/24/2017,55.88
11/27/2017,55.84
11/28/2017,56.62
11/29/2017,61.68
11/30/2017,59.9
12/1/2017,59.51
12/4/2017,62.56
12/5/2017,62.2
12/6/2017,60.72
12/7/2017,61.09
12/8/2017,61.37
12/11/2017,61.76
12/12/2017,61.02
12/13/2017,62.67
12/14/2017,61.94
12/15/2017,62.61
12/18/2017,64.08
12/19/2017,64.06
12/20/2017,64.48
12/21/2017,65.22
12/22/2017,65.39
12/26/2017,65.82
12/27/2017,65.14
12/28/2017,64.82
12/29/2017,65.25
1/2/2018,67.63
1/3/2018,67.17
1/4/2018,65.85
1/5/2018,66.55
1/8/2018,67.18
1/9/2018,69.14
1/10/2018,70.73
1/11/2018,74
1/12/2018,76.8
1/16/2018,74.96
1/17/2018,76.82
1/18/2018,77.9
1/19/2018,78.1
1/22/2018,78.58
1/23/2018,78.12
1/24/2018,76.89
1/25/2018,76.3
1/26/2018,76.95
1/29/2018,76.8
1/30/2018,75.1
1/31/2018,75.22
2/1/2018,74.97
2/2/2018,72.95
2/5/2018,70.77
2/6/2018,72.71
2/7/2018,73.25
2/8/2018,71.11
2/9/2018,72.45
2/12/2018,71.88
2/13/2018,73.88
2/14/2018,75.35
2/15/2018,76.04
