Date,Close
1/3/2017,68.66
1/4/2017,69.06
1/5/2017,69.21
1/6/2017,68.26
1/9/2017,68.71
1/10/2017,68.23
1/11/2017,68.53
1/12/2017,67.97
1/13/2017,67.13
1/17/2017,68.42
1/18/2017,68.11
1/19/2017,67.62
1/20/2017,67.18
1/23/2017,66.65
1/24/2017,67.4
1/25/2017,66.89
1/26/2017,66.73
1/27/2017,65.66
1/30/2017,66.42
1/31/2017,66.74
2/1/2017,66.23
2/2/2017,66.7
2/3/2017,66.5
2/6/2017,66.4
2/7/2017,66.89
2/8/2017,67.81
2/9/2017,69.08
2/10/2017,68.02
2/13/2017,67.77
2/14/2017,68.66
2/15/2017,68.69
2/16/2017,68.87
2/17/2017,69.37
2/21/2017,71.45
2/22/2017,71.71
2/23/2017,71.31
2/24/2017,72.39
2/27/2017,71.74
2/28/2017,70.93
3/1/2017,70.45
3/2/2017,70.76
3/3/2017,70.03
3/6/2017,69.88
3/7/2017,69.87
3/8/2017,69.8
3/9/2017,69.86
3/10/2017,70.1
3/13/2017,69.95
3/14/2017,70.72
3/15/2017,70.58
3/16/2017,70.44
3/17/2017,69.89
3/20/2017,69.98
3/21/2017,69.9
3/22/2017,70.25
3/23/2017,69.86
3/24/2017,69.61
3/27/2017,69.66
3/28/2017,70.32
3/29/2017,70.74
3/30/2017,71.59
3/31/2017,72.08
4/3/2017,71.83
4/4/2017,72.01
4/5/2017,71.65
4/6/2017,71.43
4/7/2017,72.9
4/10/2017,73.06
4/11/2017,73.43
4/12/2017,73.44
4/13/2017,73.15
4/17/2017,73.49
4/18/2017,73.89
4/19/2017,74.07
4/20/2017,74.8
4/21/2017,74.94
4/24/2017,74.78
4/25/2017,75.05
4/26/2017,75.43
4/27/2017,75.44
4/28/2017,75.18
5/1/2017,75.23
5/2/2017,75.52
5/3/2017,75.76
5/4/2017,76.34
5/5/2017,76.5
5/8/2017,76.12
5/9/2017,76.72
5/10/2017,76.7
5/11/2017,76.13
5/12/2017,75.71
5/15/2017,76.29
5/16/2017,75.11
5/17/2017,75.12
5/18/2017,77.54
5/19/2017,78.77
5/22/2017,78.55
5/23/2017,78.49
5/24/2017,78.15
5/25/2017,78.31
5/26/2017,78.13
5/30/2017,78.15
