Date,Close
1/3/2017,37.73
1/4/2017,38.31
1/5/2017,38.08
1/6/2017,37.99
1/9/2017,38.05
1/10/2017,38.35
1/11/2017,38.12
1/12/2017,37.97
1/13/2017,37.97
1/17/2017,38.38
1/18/2017,38.34
1/19/2017,37.54
1/20/2017,37.74
1/23/2017,37.24
1/24/2017,37.3
1/25/2017,37.72
1/26/2017,37.53
1/27/2017,37.13
1/30/2017,37.02
1/31/2017,37.46
2/1/2017,37.34
2/2/2017,37.47
2/3/2017,37.74
2/6/2017,37.67
2/7/2017,37.62
2/8/2017,37.76
2/9/2017,38.06
2/10/2017,38.53
2/13/2017,38.45
2/14/2017,39.04
2/15/2017,39.12
2/16/2017,38.42
2/17/2017,38.6
2/21/2017,38.12
2/22/2017,38.17
2/23/2017,38.91
2/24/2017,39.13
2/27/2017,39.31
2/28/2017,39.23
3/1/2017,39.23
3/2/2017,39.7
3/3/2017,39.41
3/6/2017,39.3
3/7/2017,39.15
3/8/2017,39.23
3/9/2017,38.97
3/10/2017,39.09
3/13/2017,39.03
3/14/2017,39.14
3/15/2017,39.59
3/16/2017,39.61
3/17/2017,39.61
3/20/2017,39.09
3/21/2017,39.05
3/22/2017,39.32
3/23/2017,39.22
3/24/2017,39.22
3/27/2017,39.17
3/28/2017,39.35
3/29/2017,39.84
3/30/2017,39.89
3/31/2017,39.54
4/3/2017,39.17
4/4/2017,38.35
4/5/2017,37.97
4/6/2017,38.4
4/7/2017,38.05
4/10/2017,38.01
4/11/2017,38.49
4/12/2017,38.55
4/13/2017,38.41
4/17/2017,38.24
4/18/2017,38.42
4/19/2017,38.45
4/20/2017,39.09
4/21/2017,39.28
4/24/2017,39.31
4/25/2017,39.39
4/26/2017,39.46
4/27/2017,39.49
4/28/2017,39.32
5/1/2017,38.83
5/2/2017,39.46
5/3/2017,39.57
5/4/2017,39.49
5/5/2017,39.35
5/8/2017,39.25
5/9/2017,39.49
5/10/2017,40.36
5/11/2017,39.74
5/12/2017,38.66
5/15/2017,38.45
5/16/2017,36.88
5/17/2017,37.39
5/18/2017,37.24
5/19/2017,37.14
5/22/2017,37.65
5/23/2017,37.2
5/24/2017,36.99
5/25/2017,37.69
5/26/2017,37.77
5/30/2017,37.42
5/31/2017,37.6
6/1/2017,37.95
6/2/2017,37.61
6/5/2017,37.52
6/6/2017,36.99
6/7/2017,37.1
6/8/2017,36.39
6/9/2017,36.84
6/12/2017,36.89
6/13/2017,36.96
6/14/2017,36.59
6/15/2017,36.27
6/16/2017,36.22
6/19/2017,36.17
6/20/2017,35.09
6/21/2017,34.7
6/22/2017,34.38
6/23/2017,34.64
